band,album,date,genre,country,real_date,count
"Blasfemia Eterna","Total misantropía",2007,"Black/Thrash Metal",Colombia,1/1/2007,1
Vonard,"Satanic Solutions","November 20th, 2019 ","Black Metal",Finland,1/1/2019,1
"Condessa Carnage","Longe de Cristo",2010,"Black Metal",Brazil,1/1/2010,1
"The Beast","Demo '86",1986,"Heavy Metal","United States",1/1/1986,1
Demolisha,"Eet Thrash","July 18th, 2012 ","Thrash/Groove Metal",Austria,1/1/2012,1
Thermit,Encephalopathy,"September 8th, 2013 ","Thrash/Heavy Metal",Poland,1/1/2013,1
"Black Tribe","Radio Europa","October 26th, 2019 ","Experimental Black Metal, Various",Germany,1/1/2019,1
Arganath,"Woods of Eternal Darkness","July 6th, 2004 ","Black Metal",Finland,1/1/2004,1
"Sons of Lioth","Destination Earth","May 2006","Power Metal",Belgium,1/1/2006,1
"Thousand Arrows",Exiles,"December 5th, 2017 ","Heavy/Thrash Metal",Canada,1/1/2017,1
Puercos,Puercos,2013,"Death Metal",Mexico,1/1/2013,1
Fleshwolf,Fleshwolf,"April 2nd, 2020 ","Death Metal","United Kingdom",1/1/2020,1
"Genocide Terror","Justice from Above","June 2011","Death Metal",Finland,1/1/2011,1
"Berserk Revolt",Theomachist,"May 1st, 2014 ","Death Metal",Ukraine,1/1/2014,1
"Loss of Self","Twelve Minutes","September 2nd, 2013 ","Black Metal/Post-Punk",Australia,1/1/2013,1
Goya,"The Enemy","March 15th, 2016 ","Sludge/Stoner Metal","United States",1/1/2016,1
"Shellyz Raven",Recrucify,1999,"Gothic Metal",Norway,1/1/1999,1
"End It All","Psychedelic Suicide","October 31st, 2009 ","Melodic Death/Thrash Metal/Metalcore","United States",1/1/2009,1
Eisregen,Knochenkult,"September 19th, 2008 ","Gothic/Black/Death Metal",Germany,1/1/2008,1
"Intestinal Impurities","Bowel Locust Infestation","July 13th, 2019 ","Brutal Death Metal/Goregrind",Ukraine,1/1/2019,1
Bathory,"Twilight of the Gods","June 29th, 1991 ","Black/Viking Metal, Thrash Metal",Sweden,1/1/1991,1
Erosion,Gunman,1991,"Thrash Metal, Hardcore",Germany,1/1/1991,1
Outlanders,Kretaceous,"August 2013","Heavy/Thrash Metal",Brazil,1/1/2013,1
SkyChurch,"Urge of the Human Device","February 6th, 1996 ","Groove Metal/Crossover",Philippines,1/1/1996,1
"Southern Spear","Southern Spear",2016,"Raw Black Metal","United States",1/1/2016,1
Accuracy,"Body of Evidence",1993,"Technical Thrash Metal (early); Groove Metal (later)",Germany,1/1/1993,1
Enrapture,"...Chi on Earth","March 14th, 2008 ","Metalcore/Death Metal","United Kingdom",1/1/2008,1
Aghori,"Blackmass of Hate",2002,"Doom/Sludge Metal","United States",1/1/2002,1
"Wishing Nightfall",Reborn,"December 2006","Heavy Metal",Germany,1/1/2006,1
"Squash Bowels",Neurons,2006,Goregrind,Poland,1/1/2006,1
"Husere Grav","Husere Grav","October 22nd, 2010 ","Experimental Black Metal, Noise","United States",1/1/2010,1
Sloth,"Of Rust, Moth and Thieves","May 26th, 2010 ","Sludge Metal/Experimental/Noise (early); Noise (later)","United States",1/1/2010,1
Blazing,"Rise of the Evil Spirits","September 29th, 2017 ","Melodic Death/Groove Metal",Colombia,1/1/2017,1
Lycosia,Apokalipstik,"November 1st, 2006 ","Thrash Metal (early), Gothic Metal (later)",France,1/1/2006,1
Tash,"And Us to Thy Service","February 16th, 2017 ","Melodic Black/Death Metal","United States",1/1/2017,1
"Burning Times","Burning Times",2003,"Folk Black Metal",Belarus,1/1/2003,1
Kaihoro,"Ancient Jams","September 6th, 2013 ","Stoner Metal/Rock",Finland,1/1/2013,1
"Bad Batch of Acid","I Shot Myself in the Head","February 3rd, 2019 ","Experimental Extreme Metal","United States",1/1/2019,1
"Extreme Brutal Terror","Voice of Demon","September 2nd, 2008 ","Melodic Death/Black Metal",Sweden,1/1/2008,1
Carnophage,Monument,"September 23rd, 2016 ","Technical Brutal Death Metal",Turkey,1/1/2016,1
"Malevolent Force","Descent into the Abyss","January 3rd, 2015 ","Thrash Metal","United States",1/1/2015,1
Throwdown,"You Don't Have to Be Blood to Be Family","January 30th, 2001 ","Metalcore/Hardcore (early); Groove Metal (later)","United States",1/1/2001,1
Floater,"The Thief","May 18th, 2018 ","Heavy/Groove Metal (early); Progressive/Alternative Hard Rock (later)","United States",1/1/2018,1
Excrescent,"Suffocated by Entrails",1999,"Death Metal","United States",1/1/1999,1
Doomed,Broken,1993,"Doom/Death Metal/Grindcore/Hardcore","United States",1/1/1993,1
Epsylon,"Demo 1984",1984,"Heavy Metal",France,1/1/1984,1
"Clarion Knell","Nearby Dawn","October 6th, 2020 ","Atmospheric Black Metal",France,1/1/2020,1
"Ad Intra","The Attic","April 4th, 2009 ","Doom/Death Metal",Venezuela,1/1/2009,1
"Ozzy Osbourne","Diary of a Madman","November 7th, 1981 ","Heavy Metal","United Kingdom",1/1/1981,1
"Psycho Killer","Desatando la Ira Asesina","September 24th, 2009 ","Death Metal",Bolivia,1/1/2009,1
"Witch Vomit","A Scream from the Tomb Below","April 25th, 2016 ","Death Metal","United States",1/1/2016,1
Ragweed,"Severe Head Trauma",1999,"Death Metal/Grindcore","United States",1/1/1999,1
Somber,"Name Your Poison","October 22nd, 2004 ","Thrash Metal",Sweden,1/1/2004,1
"Doomed Society","Infected Surgery","August 2018","Death Metal",Brazil,1/1/2018,1
"Divine Thought Suicide","Sickness of the Soul",2013,"Depressive Black Metal/Ambient",International,1/1/2013,1
"Wretched Soul",Veronica,"September 9th, 2013 ","Thrash/Death Metal","United Kingdom",1/1/2013,1
Abydos,"Time Sins","January 17th, 2018 ","Thrash Metal",Germany,1/1/2018,1
"Path to War",Demo,"August 2007","Melodic Death/Thrash Metal","United States",1/1/2007,1
Weirdream,Apocalypse,2008,"Progressive Thrash/Death Metal",Italy,1/1/2008,1
Nitokris,"Holy Bible","December 12th, 2014 ","Thrash/Groove Metal",Italy,1/1/2014,1
Valdh,"The Inception",2007,"Black Metal",Canada,1/1/2007,1
"Murmúrio","The Last War","January 1st, 2002 ","Black Metal",Brazil,1/1/2002,1
Hexer,"Cassette I","September 23rd, 2011 ","Black/Thrash Metal","United States",1/1/2011,1
"Justice Denied","Demo 2006",2006,"Power/Thrash Metal",Italy,1/1/2006,1
"Back Door to Asylum",Akathisia,"August 27th, 2012 ","Technical Brutal Death Metal",Russia,1/1/2012,1
"Waking Theo","Reflection on the Present",2006,"Metalcore/Thrash Metal","United Kingdom",1/1/2006,1
Asherah,Powerless,2013,"Melodic Death/Black Metal","United States",1/1/2013,1
Pestheim,"Winterstille im Morgengrauen",2017,"Black Metal",Germany,1/1/2017,1
Arrebol,"El que rehúye las esencias","April 30th, 2020 ","Progressive Metal",Chile,1/1/2020,1
"Terror Fector",Demo,1995,"Thrash Metal",Japan,1/1/1995,1
"Jayce Landberg","Good Sleepless Night","February 19th, 2010 ","Heavy Metal/Hard Rock",Sweden,1/1/2010,1
Overdose,"To the Top",1985,"Heavy Metal",Germany,1/1/1985,1
"Malagüero","Tempus Fugit","September 29th, 2015 ","Death/Thrash Metal",Spain,1/1/2015,1
"October 31","Red Hot","April 9th, 2005 ","Heavy Metal","United States",1/1/2005,1
"Faith in Chaos","Faith in Chaos 2001",2001,"Thrash Metal/Experimental","United States",1/1/2001,1
"Anora Dimentia","Ater Fatum","October 1st, 2006 ","Gothic/Melodic Black Metal",Israel,1/1/2006,1
"Sin and Death",Engrenage,"December 20th, 2011 ","Symphonic Black/Gothic Metal",France,1/1/2011,1
Gutted,Defiled,2001,"Death Metal/Grindcore, Technical Death Metal",Hungary,1/1/2001,1
"Ocean of Ghosts",empty1,"October 20th, 2016 ","Drone/Funeral Doom Metal; Dark Ambient; Shoegaze","United States",1/1/2016,1
Martyrvore,"Hell Fuck",2004,"Death/Black Metal","United States",1/1/2004,1
"Complex 7",c7.09,"February 5th, 2009 ","Progressive Metal",Germany,1/1/2009,1
Cataclysm,"Death Becomes Us","September 27th, 2011 ","Doom Metal","United States",1/1/2011,1
"Twisted Wrath","Madman's Chorus","April 15th, 2013 ","Thrash Metal",Ireland,1/1/2013,1
Elysaeon,Nightlights,1998,"Melodic Death/Gothic Metal",Germany,1/1/1998,1
Witchdoctor,"Moon Watcher","October 2nd, 2015 ","Doom Metal","United States",1/1/2015,1
Necromist,"Walking in Infernal Darkness","February 15th, 2019 ","Black Metal",Italy,1/1/2019,1
Cripsis,"Estabulando quimeras","October 9th, 2014 ","Death Metal",Mexico,1/1/2014,1
Vigred,"Manifestation of Seasonal Bleeding",2005,"Symphonic Black Metal",Slovenia,1/1/2005,1
Crucifist,"Rehearsal Demo",2005,"Black/Heavy Metal","United States",1/1/2005,1
Enzephalitis,"Revealed in Sickness","October 12th, 2018 ","Brutal Death Metal",Switzerland,1/1/2018,1
Human,"Not So Famous Game Show Themes",1995,"Death Metal","New Zealand",1/1/1995,1
Anthares,"No Limite da Força","October 1987","Speed/Thrash Metal",Brazil,1/1/1987,1
Hysteria,"The Recordings 1997-2003",2004,"Thrash/Death Metal",Germany,1/1/2004,1
Artrosis,"Ukryty wymiar","October 1997","Gothic Metal",Poland,1/1/1997,1
"Metal Age","Don't Dare",1994,"Melodic Heavy Metal",Germany,1/1/1994,1
Ritual,"Life and Death",2003,"Thrash Metal/Thrashcore",Italy,1/1/2003,1
Worwyk,"All Pain Is Possible",1995,"Heavy Metal","United States",1/1/1995,1
Tubul,"0,3",2011,"Heavy Metal",Slovakia,1/1/2011,1
"Terrorific Morbus",Necrofelacion,"May 31st, 2003 ","Goregrind/Brutal Death Metal",Ecuador,1/1/2003,1
Bannbodo,1313,2007,"Crossover/Thrash/Groove Metal",Malaysia,1/1/2007,1
Eviscereecon,Parasitism,2005,Goregrind,Russia,1/1/2005,1
Dashengun,"Bless Your Mother","April 1st, 2018 ","Progressive Metal",China,1/1/2018,1
"Survival Instinct","Hell's Angels","August 20th, 2016 ","Thrash Metal",Canada,1/1/2016,1
"Ashes of the Forgotten","Dark Aeons","April 19th, 2014 ","Death Metal/Deathcore","United States",1/1/2014,1
Gorge,"Pathless and Awkward on the Stairs Reverse",1997,"Doom/Death Metal","United States",1/1/1997,1
"Several Union",Resurrection,"May 24th, 2006 ","Heavy Metal",Italy,1/1/2006,1
Ophis,"Stream of Misery","October 5th, 2007 ","Death/Doom Metal",Germany,1/1/2007,1
"Black Sabbath","Black Mass","December 7th, 1999 ","Heavy/Doom Metal","United Kingdom",1/1/1999,1
Discarnatus,"Awakened Through Pain","February 29th, 2016 ","Black Metal","United States",1/1/2016,1
"Blood Emperor","Demo 2005","October 2nd, 2005 ","Thrash/Death Metal","United Kingdom",1/1/2005,1
"Wired by Witches","WxW II","August 15th, 2018 ","Experimental/Electronic Doom Metal",Ireland,1/1/2018,1
"Eternal Helcaraxe","Palest Kingdom","March 3rd, 2008 ","Black Metal",Ireland,1/1/2008,1
"Exhumed Day","Promo 2006",2006,"Death/Black Metal",Spain,1/1/2006,1
"Lunar Pocket","Promo 2011","November 21st, 2011 ","Progressive/Doom Metal",International,1/1/2011,1
Tormented,"Rotten Death","May 30th, 2009 ","Death Metal",Sweden,1/1/2009,1
Nerhium,"This Is the Time…","August 10th, 2018 ","Symphonic Metal",Chile,1/1/2018,1
"Born of Shadows","Under Dark Times","August 14th, 2019 ","Melodic Black/Death Metal",Colombia,1/1/2019,1
Mortifer,"Dread the Return​.​.​.",2010,"Black Metal",Netherlands,1/1/2010,1
Spur,"18-7-96 Live from the Hole","July 18th, 1996 ","Death Metal",Canada,1/1/1996,1
Homicide,"Eternal Death","February 15th, 1992 ","Death Metal/Grindcore","Puerto Rico",1/1/1992,1
Mortinatvm,"Lucifere ad Ignis Eternitas","March 19th, 2011 ","Black Metal",Chile,1/1/2011,1
"The Throne",Fig.2,"June 10th, 2010 ",Sludge/Post-Metal,Poland,1/1/2010,1
Nordlumo,"Embraced by Eternal Night","January 25th, 2016 ","Funeral Doom Metal",Russia,1/1/2016,1
Bendida,"First of the Heroes","March 6th, 2020 ","Symphonic Power Metal",Bulgaria,1/1/2020,1
Sidious,"Revealed in Profane Splendour","November 3rd, 2014 ","Symphonic Blackened Death Metal (early), Black Metal (later)","United Kingdom",1/1/2014,1
"DarkStöne",Splatter,"August 8th, 2019 ","Groove Metal","United States",1/1/2019,1
"The Worst","Livello II - Nessuna speranza","January 30th, 2010 ","Death Metal/Grindcore",Italy,1/1/2010,1
Jarun,Sporysz,"December 22nd, 2017 ","Progressive Folk/Black Metal",Poland,1/1/2017,1
Ahoora,"All in Blood with You","September 30th, 2007 ","Power/Thrash Metal (early), Progressive/Post-Rock (later)",Iran,1/1/2007,1
Bounded,"New Era","October 17th, 2018 ","Melodic Death/Doom Metal",Turkey,1/1/2018,1
Vnrest,I,"October 7th, 2016 ","Progressive/Technical Death Metal",Germany,1/1/2016,1
"Svart Crown",Profane,"April 22nd, 2013 ","Black/Death Metal",France,1/1/2013,1
"Trinity Age","Demo 2008",2008,"Progressive/Heavy Metal with Deathcore influences",France,1/1/2008,1
Alareikaz,"Strävan","August 18th, 2016 ","Black Metal",Sweden,1/1/2016,1
"MΛKE","The Golden Veil","July 17th, 2015 ","Progressive Sludge/Doom Metal, Post-Rock","United States",1/1/2015,1
"Goat Thron","Suicide / Jewish Holidays","March 2004","Raw Black Metal (early); Dark Industrial Noise/Dark Ambient (later)",Poland,1/1/2004,1
Purbawisesa,"Misantrofik Universal Death","March 6th, 2004 ","Black Metal",Singapore,1/1/2004,1
Valpurga,"War at Last",2002,"Black Metal",Italy,1/1/2002,1
Narvik,"Demo 2007",2007,"Black Metal",Germany,1/1/2007,1
Migdal,Contraataque,2002,"Heavy Metal",Uruguay,1/1/2002,1
Decius,Decius,2007,"Death Metal",Austria,1/1/2007,1
"Dark Blessing","Frozen Throne",2005,"Black Metal",Russia,1/1/2005,1
"The Quintessence",Entrance,2006,"Avant-garde/Doom Metal",Hungary,1/1/2006,1
Morbosidad,"Invocaciones demoníacas","August 16th, 2010 ","Black/Death Metal","United States",1/1/2010,1
"Seventh Gates","Crucified by Dawn",1993,"Black Metal",Singapore,1/1/1993,1
Kausalgia,"Promo 2010",2010,"Atmospheric/Melodic Black Metal",Finland,1/1/2010,1
Beesus,"Sgt. Beesus... and the Lonely Ass Gangbang!","March 2nd, 2018 ","Experimental Doom/Stoner Metal/Rock",Italy,1/1/2018,1
Virus,Materials,"April 21st, 1990 ","Speed/Thrash Metal (early); J-Rock (later)",Japan,1/1/1990,1
Eosphoros,Eosphoros,"October 12th, 2018 ","Black Metal","United States",1/1/2018,1
"Damnation Call","Carnage of Soul",1996,"Death Metal",Switzerland,1/1/1996,1
Martyrium,"Demo '98",1998,"Black/Death Metal",Netherlands,1/1/1998,1
Blockedlife,Godmachine,"April 2013","Melodic Death Metal",Mexico,1/1/2013,1
Necrophiliac,"Endless Death","March 17th, 1988 ","Death Metal",Spain,1/1/1988,1
"Cruz de Fuego","¡Esta caliente!",1995,"Speed Metal (early), Melodic Heavy Metal (later)",Mexico,1/1/1995,1
"Empires Fall",Demo,2011,Deathcore,Australia,1/1/2011,1
XCIII,"The Blue","December 10th, 2019 ","Atmospheric Progressive Metal (early); Avant-garde (later)",France,1/1/2019,1
Grope,"If You Were My Dog...","September 16th, 2002 ","Groove Thrash (early); Stoner Metal/Rock (later)",Denmark,1/1/2002,1
"Black Talon","Endless Realities","May 11th, 2015 ","Thrash Metal","United Kingdom",1/1/2015,1
"Fall of the Leafe","Promo 1999",1999,"Melodic Death/Folk Metal (early); Atmospheric Gothic Metal (later)",Finland,1/1/1999,1
"Sanctimonious Order","Thy Kingdom","October 18th, 2004 ","Black Metal",Germany,1/1/2004,1
Nashemah,"Baron Samedi",1999,"Black Metal",Brazil,1/1/1999,1
Nokthe,"Misantropia dentro",2009,"Black Metal",Italy,1/1/2009,1
Arraigo,"Rancho sur",2006,"Heavy/Folk Metal",Argentina,1/1/2006,1
Tomb,"Unholy Ritual",2015,"Death/Black Metal",Malaysia,1/1/2015,1
"Sacred Assault","Wage War",2009,"Thrash Metal","United Kingdom",1/1/2009,1
"Malicious Prophecies","Reducido a cenizas",1992,"Death/Thrash/Black Metal",Mexico,1/1/1992,1
"Lost in Lavender Town","Another Castle","September 3rd, 2017 ","Progressive Metal","United Kingdom",1/1/2017,1
Tatir,"Dark Autumn Nights",1995,"Pagan Black Metal",Greece,1/1/1995,1
"Septic Autopsy","Post-mortem Examinations",2012,"Brutal Death Metal/Goregrind",Mexico,1/1/2012,1
"Art of Destruction","Under attack",2003,"Death Metal/Deathcore","United States",1/1/2003,1
vVv,"The Symbol",2004,"Groove/Death Metal","South Africa",1/1/2004,1
"Symmetric Disorder","Biomechanical Nonsense Connections",2006,"Technical Death Metal",Italy,1/1/2006,1
Inhumanity,Nihilisms,"January 3rd, 2009 ","Death Metal/Grindcore",Germany,1/1/2009,1
Conan,"Blood Eagle","February 28th, 2014 ","Sludge/Stoner/Doom Metal","United Kingdom",1/1/2014,1
Wish,www.wish-2013.nl,1999,"Atmospheric Gothic/Doom Metal, Gothic Rock",Netherlands,1/1/1999,1
"Criminal Judge","Frozen Lunacy",1990,"Thrash Metal",Belgium,1/1/1990,1
Nadja,Trinitarian,"November 2008","Ambient Drone/Doom Metal",Canada,1/1/2008,1
"Evoked Doom",Deadrehtape,1985,"Thrash Metal",Germany,1/1/1985,1
Hordes,"Eternal Lust",1992,"Black/Doom Metal",Netherlands,1/1/1992,1
"Tomorrow's Demise","Before the Storm","September 20th, 2007 ","Atmospheric Black Metal (early), Doom/Death Metal (later)",Canada,1/1/2007,1
"Undead Viking Mafia","Ours, and Fairly Won","October 31st, 2012 ","Metalcore (early), Southern Metal (later)","United States",1/1/2012,1
Witchbroom,"Occultism and Sorcery",2006,"Black Metal/Dark Ambient","United States",1/1/2006,1
"Blood of Steel","Live Demo",2005,"Thrash Metal",Japan,1/1/2005,1
"Advanced Hatred","Advanced Hatred","June 14th, 2018 ","Black Metal",International,1/1/2018,1
Sargatanas,"Promo Advance '98",1998,"Black/Death Metal",Mexico,1/1/1998,1
Abadis,"The Sign","March 1994","Black Metal",Netherlands,1/1/1994,1
Lashmush,"Tears of the Blind",2004,"Symphonic Death/Black Metal, Electronic/Industrial",Sweden,1/1/2004,1
Angershield,"Slaves of Cause and Treason",2010,"Melodic Death Metal",Colombia,1/1/2010,1
Hookerfight,"...and Then There Were Three","February 21st, 2009 ","Sludge/Stoner Metal","United States",1/1/2009,1
Distrust,"Human Conflict",2000,"Brutal Death Metal",Malaysia,1/1/2000,1
"Still It Cries",Demo,1998,"Melodic Death/Gothic Metal",Germany,1/1/1998,1
"Cabals Brut",Exanimis,"May 15th, 2017 ","Black Metal",Germany,1/1/2017,1
"Militant Attack","Mortal Slave (Rehearsal)","October 11th, 2008 ","Thrash Metal",Malaysia,1/1/2008,1
"Darkest Hour","Godless Prophets & the Migrant Flora","February 17th, 2017 ","Melodic Death Metal/Metalcore","United States",1/1/2017,1
Centurion,Centurion,"September 13th, 2019 ","Heavy/Progressive Metal",Serbia,1/1/2019,1
"L'Òstia del Segle","Soc un diable","April 21st, 2017 ","Heavy/Thrash Metal",Spain,1/1/2017,1
